feature_set,target,group_col,n_eval,n_positive,n_groups,roc_auc,average_precision,spearman_rho,spearman_p
rollout_plus_timebase,future_any_drop_within_16cycles,cycleNo,96,48,48,0.6944444444444444,0.7062781799703137,0.33680593041418244,0.0007925564669722182
rollout_plus_acquisition_timebase,future_any_drop_within_16cycles,cycleNo,96,48,48,0.6909722222222222,0.7001575141191718,0.3307915387996435,0.0009954377792000043
rollout_only,future_any_drop_within_16cycles,cycleNo,96,48,48,0.6901041666666666,0.6980992770739843,0.32928794089600877,0.001053054863994876
rollout_plus_acquisition,future_any_drop_within_16cycles,cycleNo,96,48,48,0.6875,0.6959466970200751,0.32477714718510453,0.0012445915601535507
acquisition_context,future_any_drop_within_16cycles,cycleNo,96,48,48,0.5203993055555556,0.5100473284912328,0.03533455073541646,0.7325178908684901
timebase_context,future_any_drop_within_16cycles,cycleNo,96,48,48,0.5086805555555556,0.6600345560871876,0.015211557970824114,0.883054404659703
rollout_only,future_any_drop_within_16cycles,source_stem,96,48,14,0.6393229166666665,0.656284993763923,0.24132746353337628,0.017852398442445756
rollout_plus_acquisition,future_any_drop_within_16cycles,source_stem,96,48,14,0.6037326388888888,0.6389135843374836,0.17967994948435181,0.07982169671763459
acquisition_context,future_any_drop_within_16cycles,source_stem,96,48,14,0.4322916666666667,0.4479871985493757,-0.11728063648350998,0.2551244920493326
rollout_plus_timebase,future_any_drop_within_16cycles,source_stem,96,48,14,0.3606770833333333,0.4624515811884778,-0.24132746353337628,0.017852398442445756
rollout_plus_acquisition_timebase,future_any_drop_within_16cycles,source_stem,96,48,14,0.3250868055555556,0.45002811560930045,-0.3029749775824008,0.0026952835839025254
timebase_context,future_any_drop_within_16cycles,source_stem,96,48,14,0.2126736111111111,0.38955598222839605,-0.49997490171739123,2.143726632228047e-07
rollout_plus_timebase,future_any_drop_within_8cycles,cycleNo,96,28,48,0.7578781512605043,0.668259651161512,0.4060607134516791,4.047458684249231e-05
rollout_plus_acquisition_timebase,future_any_drop_within_8cycles,cycleNo,96,28,48,0.743172268907563,0.6502278892855192,0.3829045016866139,0.00011794495286667565
rollout_only,future_any_drop_within_8cycles,cycleNo,96,28,48,0.6601890756302521,0.50685999772191,0.2522373067266031,0.013165358896745687
timebase_context,future_any_drop_within_8cycles,cycleNo,96,28,48,0.6470588235294118,0.6682883679787704,0.2356045016922217,0.020841919362809002
rollout_plus_acquisition,future_any_drop_within_8cycles,cycleNo,96,28,48,0.6234243697478992,0.48816164779201554,0.19434677731394007,0.057776305109390615
acquisition_context,future_any_drop_within_8cycles,cycleNo,96,28,48,0.47111344537815125,0.26916802785383603,-0.045485415967092366,0.659897899951628
rollout_only,future_any_drop_within_8cycles,source_stem,96,28,14,0.35871848739495793,0.22776927955477247,-0.2224650344572336,0.029366737598208882
acquisition_context,future_any_drop_within_8cycles,source_stem,96,28,14,0.29411764705882354,0.2103221920853288,-0.32418696471091285,0.0012718661392362581
rollout_plus_timebase,future_any_drop_within_8cycles,source_stem,96,28,14,0.28413865546218486,0.2083492724543993,-0.33990010840863566,0.0007036059461299648
rollout_plus_acquisition_timebase,future_any_drop_within_8cycles,source_stem,96,28,14,0.2652310924369748,0.2039766873211365,-0.36967238067800523,0.00020989537722582199
rollout_plus_acquisition,future_any_drop_within_8cycles,source_stem,96,28,14,0.2626050420168067,0.20270374989378237,-0.37380741849319543,0.0001757611971208665
timebase_context,future_any_drop_within_8cycles,source_stem,96,28,14,0.18592436974789914,0.2204110488309852,-0.49682010651078634,2.624946056349775e-07
