roi_id,cycleNo,source_stem,local_cycle_index,expansion_cycle_rank,object_candidate_rank,selection_reason,event_relative_bin,cohort_role,cycles_to_next_event,cycles_since_prev_event,future_event_within_32cycles,past_event_within_16cycles,already_in_existing_video_cohort,validation_score,validation_label,object_x_full_approx,object_y_full_approx,object_area_ds_px,object_mean_residual,object_mean_abs_z,crop_x0,crop_y0,crop_x1,crop_y1,crop_size_full,output_size,n_frames,first_frame_index,last_frame_index,roi_mean_first,roi_mean_last,roi_mean_delta_last_minus_first,roi_norm_mean_first,roi_norm_mean_last,roi_norm_mean_delta_last_minus_first,stage_drift_xy_sampled,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,npz_path,preview_png,persistence_mse_mean,persistence_mse_p95,persistence_mse_late_mean,velocity_mse_mean,velocity_mse_p95,velocity_minus_persistence_mse,temporal_energy_mean,temporal_energy_p95,temporal_energy_late_minus_early,roi_norm_mean_late_minus_early,roi_norm_mean_positive_step_fraction,raw_roi_mean_delta_last_minus_first,stage_drift_xy_recomputed,n_loaded_frames,frame_height,frame_width
source_balanced_cycle88_rank1_obj1_10_c2_x10_030723,88.0,10_c2_x10_030723,3,1,1,source_fill,post_event_1_16,source_balanced_pre_event_sampling,28.0,2.0,1.0,1.0,True,24.329266672272,source_balanced_pre_event_candidate,574.5365853658536,231.1219512195122,41.0,11764.1923828125,29.37434196472168,479,135,671,327,192,96,96,2720,3626,8546.6884765625,8550.58984375,3.9013671875,0.08868059515953064,0.08898951858282089,0.0003089234232902527,0.1802775637731931,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle88_rank1_obj1_10_c2_x10_030723.npz,,0.00015148796956054866,0.0005342881195247173,0.0001524512335890904,0.00040690097375772893,0.0015240002307109533,0.0002551630896050483,0.011854947544634342,0.01255839504301548,0.0006056586280465126,0.0027356993717451844,0.49473684210526314,3.9013671875,0.18026741406264754,96,96,96
source_balanced_cycle88_rank1_obj2_10_c2_x10_030723,88.0,10_c2_x10_030723,3,1,2,source_fill,post_event_1_16,source_balanced_pre_event_sampling,28.0,2.0,1.0,1.0,True,24.56405304864168,source_balanced_pre_event_candidate,1190.9411764705883,652.0,34.0,12524.58203125,30.94007873535156,1095,556,1287,748,192,96,96,2720,3626,8040.17626953125,8034.916015625,-5.26025390625,0.06922319531440735,0.06890388578176498,-0.0003193095326423645,0.1802775637731931,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle88_rank1_obj2_10_c2_x10_030723.npz,,0.00010494812886463478,0.00035821006167680025,0.00010642209235811606,0.00027631784905679524,0.001017091568792238,0.0001712068624328822,0.009787972085177898,0.01057478915899992,0.000576462596654892,0.0025362418964505196,0.49473684210526314,-5.26025390625,0.18026741406264754,96,96,96
source_balanced_cycle90_rank2_obj1_10_c2_x10_030723,90.0,10_c2_x10_030723,5,2,1,source_fill,post_event_1_16,source_balanced_pre_event_sampling,26.0,4.0,1.0,1.0,True,23.307087736570715,source_balanced_pre_event_candidate,831.709090909091,65.81818181818181,55.0,9689.1435546875,24.847431182861328,736,0,928,192,192,96,96,4534,5439,8959.5205078125,8950.794921875,-8.7255859375,0.09190186113119125,0.09149393439292908,-0.0004079267382621765,0.2500000000000227,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle90_rank2_obj1_10_c2_x10_030723.npz,,9.071571548702195e-05,0.0003581647761166096,9.032414527609944e-05,0.000267395080300048,0.0010557203437201678,0.0001766522036632523,0.00952083058655262,0.009941225219517947,-5.6784600019454956e-05,0.0012987645653386864,0.5263157894736842,-8.7255859375,0.2500244143604941,96,96,96
source_balanced_cycle90_rank2_obj2_10_c2_x10_030723,90.0,10_c2_x10_030723,5,2,2,source_fill,post_event_1_16,source_balanced_pre_event_sampling,26.0,4.0,1.0,1.0,True,23.842986199481786,source_balanced_pre_event_candidate,574.2222222222222,232.0,45.0,10566.20703125,27.51865005493164,478,136,670,328,192,96,96,4534,5439,8528.22265625,8518.755859375,-9.466796875,0.087337926030159,0.08665470033884048,-0.000683225691318512,0.2500000000000227,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle90_rank2_obj2_10_c2_x10_030723.npz,,0.00013405016215983778,0.0005236282013356686,0.0001338573929388076,0.000387382140615955,0.0015182651404757053,0.00025328085757791996,0.011575045995414257,0.011882839538156985,-3.091525286436081e-05,0.0018353109868864265,0.5157894736842106,-9.466796875,0.2500244143604941,96,96,96
source_balanced_cycle92_rank3_obj1_10_c2_x10_030723,92.0,10_c2_x10_030723,7,3,1,source_fill,post_event_1_16,source_balanced_pre_event_sampling,24.0,6.0,1.0,1.0,True,25.488656580292165,source_balanced_pre_event_candidate,1191.7333333333331,652.4,30.0,13611.0244140625,34.50833511352539,1096,556,1288,748,192,96,96,6347,7253,7984.6640625,7979.201171875,-5.462890625,0.06585477292537689,0.0655813217163086,-0.00027345120906829834,0.1802775637732877,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle92_rank3_obj1_10_c2_x10_030723.npz,,8.752191934036091e-05,0.0003430043288972229,8.800694195087999e-05,0.00024998540175147355,0.0009834080701693892,0.00016239366959780455,0.009352903813123703,0.009747621323913335,8.436944335699081e-05,0.0015324347962935858,0.5052631578947369,-5.462890625,0.18031819202357524,96,96,96
source_balanced_cycle92_rank3_obj2_10_c2_x10_030723,92.0,10_c2_x10_030723,7,3,2,source_fill,post_event_1_16,source_balanced_pre_event_sampling,24.0,6.0,1.0,1.0,True,24.29946436055132,source_balanced_pre_event_candidate,574.1904761904761,232.8571428571429,42.0,11196.3671875,29.26946449279785,478,137,670,329,192,96,96,6347,7253,8501.822265625,8492.5556640625,-9.2666015625,0.08850360661745071,0.08780252933502197,-0.0007010772824287415,0.1802775637732877,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle92_rank3_obj2_10_c2_x10_030723.npz,,0.00014259954332374036,0.0005580746888881549,0.00014303771604318172,0.00041186370071955025,0.0016155431047081936,0.0002691939298529178,0.01193950418382883,0.012393076438456774,6.169639527797699e-05,0.00134912210827072,0.5157894736842106,-9.2666015625,0.18031819202357524,96,96,96
source_balanced_cycle94_rank4_obj1_10_c2_x10_030723,94.0,10_c2_x10_030723,9,4,1,post_event_1_16,post_event_1_16,source_balanced_pre_event_sampling,22.0,8.0,1.0,1.0,True,25.14983171634987,source_balanced_pre_event_candidate,576.972972972973,232.97297297297297,37.0,12897.384765625,32.438777923583984,481,137,673,329,192,96,96,8161,9067,8492.6435546875,8486.44921875,-6.1943359375,0.0870167538523674,0.08660577982664108,-0.00041097402572631836,0.2499999999999317,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle94_rank4_obj1_10_c2_x10_030723.npz,,0.00013175744970794767,0.0005149625823833047,0.00013286317698657513,0.00037989107659086585,0.0014893841114826491,0.0002480722323525697,0.011476934887468815,0.011769084166735411,0.00014988332986831665,0.00018122947464385697,0.5157894736842106,-6.1943359375,0.24997559070633724,96,96,96
source_balanced_cycle94_rank4_obj2_10_c2_x10_030723,94.0,10_c2_x10_030723,9,4,2,post_event_1_16,post_event_1_16,source_balanced_pre_event_sampling,22.0,8.0,1.0,1.0,True,23.93425610271029,source_balanced_pre_event_candidate,833.6666666666666,68.83333333333333,48.0,10861.255859375,27.37371826171875,738,0,930,192,192,96,96,8161,9067,8934.533203125,8923.23828125,-11.294921875,0.09251372516155243,0.09176597744226456,-0.0007477477192878723,0.2499999999999317,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle94_rank4_obj2_10_c2_x10_030723.npz,,9.137377492152154e-05,0.000361533674004022,9.215469617629424e-05,0.00026813376462087035,0.0010614717670250676,0.00017670579836703837,0.009557083249092102,0.009866430144757032,0.00011126045137643814,-0.00023081324373681877,0.5157894736842106,-11.294921875,0.24997559070633724,96,96,96
source_balanced_cycle96_rank5_obj1_11_c2_x10_050723,96.0,11_c2_x10_050723,1,5,1,source_fill,post_event_1_16,source_balanced_pre_event_sampling,20.0,10.0,1.0,1.0,False,23.445151520434056,source_balanced_pre_event_candidate,1339.6521739130435,203.96521739130435,115.0,8149.71435546875,19.829694747924805,1244,108,1436,300,192,96,96,902,1803,8879.798828125,8878.8388671875,-0.9599609375,0.07259181886911392,0.07254216074943542,-4.9658119678497314e-05,0.2500000000000909,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle96_rank5_obj1_11_c2_x10_050723.npz,,4.865315349888988e-05,0.00016801794627099297,4.673887451644987e-05,0.00013354937254916877,0.0004846584444749169,8.482221164740622e-05,0.006634012795984745,0.007217942364513874,0.0005280580371618271,0.0017475925075511184,0.49473684210526314,-0.9599609375,0.2500244143604941,96,96,96
source_balanced_cycle96_rank5_obj2_11_c2_x10_050723,96.0,11_c2_x10_050723,1,5,2,source_fill,post_event_1_16,source_balanced_pre_event_sampling,20.0,10.0,1.0,1.0,False,24.90960755549438,source_balanced_pre_event_candidate,834.3809523809524,95.61904761904762,42.0,13544.525390625,29.58783912658692,738,0,930,192,192,96,96,902,1803,8969.9482421875,8967.5615234375,-2.38671875,0.08229045569896698,0.08215644210577011,-0.0001340135931968689,0.2500000000000909,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle96_rank5_obj2_11_c2_x10_050723.npz,,7.749587530270219e-05,0.00027087794733233746,7.504873065045103e-05,0.0002151181543013081,0.0007937581365695223,0.00013745987962465733,0.008389187976717949,0.009413837268948556,0.000683024525642395,0.0015013193090756827,0.4842105263157895,-2.38671875,0.2500244143604941,96,96,96
