cycleNo,source_stem,local_cycle_index,front_candidate_rank,object_candidate_rank,validation_score,validation_label,object_x_full_approx,object_y_full_approx,object_x_ds,object_y_ds,object_area_ds_px,object_mean_residual,object_mean_abs_z,segment_start_frame,segment_end_frame,downsample,control_for_event_cycle,local_distance_from_event,source_reconstructed_overlay_png
88.0,10_c2_x10_030723,3,1,1,1.0,matched_control_roi_candidate,574.5365853658536,231.1219512195122,143.6341463414634,57.78048780487805,41.0,11708.4150390625,29.246437072753903,2720,3627,4,86.0,2.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_88_10_c2_x10_030723_local3.png
88.0,10_c2_x10_030723,3,2,2,0.5,matched_control_roi_candidate,1190.9411764705883,652.0,297.7352941176471,163.0,34.0,12459.9765625,30.808609008789062,2720,3627,4,86.0,2.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_88_10_c2_x10_030723_local3.png
88.0,10_c2_x10_030723,3,3,3,0.3333333333333333,matched_control_roi_candidate,828.0615384615385,66.58461538461539,207.01538461538465,16.646153846153847,65.0,8199.2548828125,21.62796974182129,2720,3627,4,86.0,2.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_88_10_c2_x10_030723_local3.png
88.0,10_c2_x10_030723,3,4,4,0.25,matched_control_roi_candidate,1335.142857142857,170.57142857142858,333.7857142857143,42.642857142857146,196.0,3987.415283203125,14.411640167236328,2720,3627,4,86.0,2.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_88_10_c2_x10_030723_local3.png
88.0,10_c2_x10_030723,3,5,5,0.2,matched_control_roi_candidate,1628.7567567567569,111.67567567567568,407.1891891891892,27.91891891891892,37.0,10755.4345703125,26.65177345275879,2720,3627,4,86.0,2.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_88_10_c2_x10_030723_local3.png
88.0,10_c2_x10_030723,3,6,6,0.16666666666666666,matched_control_roi_candidate,1182.9565217391305,1082.8695652173913,295.7391304347826,270.7173913043478,92.0,6501.10595703125,16.27090072631836,2720,3627,4,86.0,2.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_88_10_c2_x10_030723_local3.png
88.0,10_c2_x10_030723,3,7,7,0.14285714285714285,matched_control_roi_candidate,995.0909090909092,169.54545454545453,248.77272727272728,42.38636363636363,44.0,9080.51171875,22.680932998657227,2720,3627,4,86.0,2.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_88_10_c2_x10_030723_local3.png
88.0,10_c2_x10_030723,3,8,8,0.125,matched_control_roi_candidate,1660.7633587786258,189.7404580152672,415.19083969465646,47.43511450381679,131.0,4510.19921875,14.399632453918455,2720,3627,4,86.0,2.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_88_10_c2_x10_030723_local3.png
90.0,10_c2_x10_030723,5,1,1,1.0,matched_control_roi_candidate,1190.9714285714283,651.5428571428571,297.74285714285713,162.88571428571427,35.0,11995.662109375,30.392221450805664,4534,5440,4,86.0,4.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_90_10_c2_x10_030723_local5.png
90.0,10_c2_x10_030723,5,2,2,0.5,matched_control_roi_candidate,828.8387096774194,66.12903225806451,207.20967741935485,16.532258064516128,62.0,8369.5546875,22.36421585083008,4534,5440,4,86.0,4.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_90_10_c2_x10_030723_local5.png
