feature_set,target,group_col,n_eval,n_positive,n_groups,roc_auc,average_precision,spearman_rho,spearman_p
rollout_raw,future_any_drop_within_16cycles,cycleNo,96,48,48,0.6901041666666666,0.6980992770739843,0.32928794089600877,0.001053054863994876
rollout_raw_plus_context,future_any_drop_within_16cycles,cycleNo,96,48,48,0.6875,0.6959466970200751,0.32477714718510453,0.0012445915601535507
context_only,future_any_drop_within_16cycles,cycleNo,96,48,48,0.5203993055555556,0.5100473284912328,0.03533455073541646,0.7325178908684901
residual_plus_context,future_any_drop_within_16cycles,cycleNo,96,48,48,0.4140625,0.4286155998132444,-0.14885619245983958,0.14776839547923704
rollout_within_source_z,future_any_drop_within_16cycles,cycleNo,96,48,48,0.3975694444444444,0.4270574471953014,-0.1774245526288997,0.08374194212103
rank_plus_context,future_any_drop_within_16cycles,cycleNo,96,48,48,0.3901909722222222,0.43040064709583253,-0.190205134809795,0.06342600037413544
rollout_source_residual,future_any_drop_within_16cycles,cycleNo,96,48,48,0.3884548611111111,0.42233094782222996,-0.19321233061706447,0.05928126210800309
rollout_within_source_rank,future_any_drop_within_16cycles,cycleNo,96,48,48,0.3355034722222222,0.40006734619486606,-0.2849318027387838,0.004896653211931
rollout_raw,future_any_drop_within_16cycles,source_stem,96,48,14,0.6393229166666665,0.656284993763923,0.24132746353337628,0.017852398442445756
rollout_raw_plus_context,future_any_drop_within_16cycles,source_stem,96,48,14,0.6037326388888888,0.6389135843374836,0.17967994948435181,0.07982169671763459
rollout_within_source_z,future_any_drop_within_16cycles,source_stem,96,48,14,0.5334201388888888,0.5512989792338956,0.057888519289937615,0.5753228635884016
rollout_source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.5290798611111112,0.5600807441680045,0.0503705297717639,0.6259940460736577
rollout_within_source_rank,future_any_drop_within_16cycles,source_stem,96,48,14,0.49652777777777773,0.5142935643422655,-0.006014391614538973,0.9536232999242508
residual_plus_context,future_any_drop_within_16cycles,source_stem,96,48,14,0.4366319444444445,0.4934156524837552,-0.10976264696533626,0.28706487640018646
context_only,future_any_drop_within_16cycles,source_stem,96,48,14,0.4322916666666667,0.4479871985493757,-0.11728063648350998,0.2551244920493326
rank_plus_context,future_any_drop_within_16cycles,source_stem,96,48,14,0.4270833333333333,0.4619727228977054,-0.12630222390531842,0.22011941754599357
rollout_raw,future_any_drop_within_8cycles,cycleNo,96,28,48,0.6601890756302521,0.50685999772191,0.2522373067266031,0.013165358896745687
rollout_raw_plus_context,future_any_drop_within_8cycles,cycleNo,96,28,48,0.6234243697478992,0.48816164779201554,0.19434677731394007,0.057776305109390615
context_only,future_any_drop_within_8cycles,cycleNo,96,28,48,0.47111344537815125,0.26916802785383603,-0.045485415967092366,0.659897899951628
residual_plus_context,future_any_drop_within_8cycles,cycleNo,96,28,48,0.22216386554621848,0.19484873012710857,-0.4374870008471248,8.307621408861966e-06
rollout_source_residual,future_any_drop_within_8cycles,cycleNo,96,28,48,0.1790966386554622,0.18660377620848184,-0.5053016210162442,1.5158129013190908e-07
rank_plus_context,future_any_drop_within_8cycles,cycleNo,96,28,48,0.16964285714285715,0.18751722002576388,-0.520187757150929,5.573526867992429e-08
rollout_within_source_z,future_any_drop_within_8cycles,cycleNo,96,28,48,0.12237394957983191,0.1776583398428846,-0.594618437824353,1.6847736704763866e-10
rollout_within_source_rank,future_any_drop_within_8cycles,cycleNo,96,28,48,0.10504201680672268,0.17550135491123198,-0.6219096874046083,1.3546713948932274e-11
rollout_source_residual,future_any_drop_within_8cycles,source_stem,96,28,14,0.4889705882352941,0.3814231873703801,-0.0173671588237989,0.8666255171440452
rollout_within_source_z,future_any_drop_within_8cycles,source_stem,96,28,14,0.4453781512605042,0.29143910943709456,-0.08600878655595647,0.4047223694893085
rollout_within_source_rank,future_any_drop_within_8cycles,source_stem,96,28,14,0.4369747899159664,0.31215644293532163,-0.09924090756456516,0.3360504356847454
rollout_raw,future_any_drop_within_8cycles,source_stem,96,28,14,0.35871848739495793,0.22776927955477247,-0.2224650344572336,0.029366737598208882
context_only,future_any_drop_within_8cycles,source_stem,96,28,14,0.29411764705882354,0.2103221920853288,-0.32418696471091285,0.0012718661392362581
rollout_raw_plus_context,future_any_drop_within_8cycles,source_stem,96,28,14,0.2626050420168067,0.20270374989378237,-0.37380741849319543,0.0001757611971208665
rank_plus_context,future_any_drop_within_8cycles,source_stem,96,28,14,0.2552521008403361,0.20262190782373063,-0.385385524375728,0.000105570742735332
residual_plus_context,future_any_drop_within_8cycles,source_stem,96,28,14,0.2552521008403361,0.20170463205360928,-0.385385524375728,0.000105570742735332
