cycleNo,particle0,particle1,particle2,particle3,addrs,n_frames,particle0_norm,particle0_abrupt_drop,particle1_norm,particle1_abrupt_drop,particle2_norm,particle2_abrupt_drop,particle3_norm,particle3_abrupt_drop,particle0_norm_delta_prev,particle0_norm_abs_delta_prev,particle0_norm_rolling3_slope,particle0_norm_rolling5_mean,particle0_norm_rolling5_std,particle1_norm_delta_prev,particle1_norm_abs_delta_prev,particle1_norm_rolling3_slope,particle1_norm_rolling5_mean,particle1_norm_rolling5_std,particle2_norm_delta_prev,particle2_norm_abs_delta_prev,particle2_norm_rolling3_slope,particle2_norm_rolling5_mean,particle2_norm_rolling5_std,particle3_norm_delta_prev,particle3_norm_abs_delta_prev,particle3_norm_rolling3_slope,particle3_norm_rolling5_mean,particle3_norm_rolling5_std,particle_norm_mean,particle_norm_std,particle_norm_min,particle_norm_max,particle_norm_range,particle_norm_cv,mean_delta_prev,mean_abs_delta_prev,max_abs_delta_prev,delta_std_across_particles,drop_count,any_abrupt_drop,synchronized_drop_2plus,synchronized_drop_3plus,cycle_gap,frames_percentile,future_any_drop_within_4cycles,future_sync2_drop_within_4cycles,cycles_to_next_drop_within_4,future_any_drop_within_8cycles,future_sync2_drop_within_8cycles,cycles_to_next_drop_within_8,future_any_drop_within_16cycles,future_sync2_drop_within_16cycles,cycles_to_next_drop_within_16,charge_capacity_mAh,discharge_capacity_mAh,capacity_mAh,coulombic_efficiency_pct,V_min,V_max,n_points,echem_shape_points,echem_shape_duration_s,shape_V_min,shape_V_max,shape_V_range,shape_V_mean,shape_V_std,shape_I_mean_mA,shape_I_abs_mean_mA,shape_I_pos_fraction,shape_I_neg_fraction,shape_charge_mAh_signed,shape_charge_mAh_abs,shape_charge_mAh_pos,shape_charge_mAh_neg_abs,shape_dVdt_slope,shape_dIdt_slope,shape_V_q05,shape_I_q05,shape_V_q10,shape_I_q10,shape_V_q25,shape_I_q25,shape_V_q50,shape_I_q50,shape_V_q75,shape_I_q75,shape_V_q90,shape_I_q90,shape_V_q95,shape_I_q95,shape_dVdt_abs_median,shape_dVdt_abs_p95,shape_dVdt_sign_consistency,all_dq_abs_total_mAh,all_dq_abs_lowV_frac,all_dq_abs_midV_frac,all_dq_abs_highV_frac,all_dq_abs_peak_voltage,all_dq_abs_peak_frac,all_dq_abs_entropy,all_dqdv_abs_integral_proxy,pos_dq_abs_total_mAh,pos_dq_abs_lowV_frac,pos_dq_abs_midV_frac,pos_dq_abs_highV_frac,pos_dq_abs_peak_voltage,pos_dq_abs_peak_frac,pos_dq_abs_entropy,pos_dqdv_abs_integral_proxy,neg_dq_abs_total_mAh,neg_dq_abs_lowV_frac,neg_dq_abs_midV_frac,neg_dq_abs_highV_frac,neg_dq_abs_peak_voltage,neg_dq_abs_peak_frac,neg_dq_abs_entropy,neg_dqdv_abs_integral_proxy,shape_block_mode,shape_block_nunique,cycle_state_pc1,cycle_state_pc2,cycle_state_pc3,cycle_state_pc4,cycle_state_pc5,cycle_state_pc6,cycle_state_pc7,cycle_state_pc8,degradation_state_axis,degradation_axis_oriented_to,cycle_state_cluster,state_step_norm,axis_step
2,355,122,244,18,D://NMC_degradation_3_160623_Halfthedata\2_c2_x14_200623chopped\2_c2_x14_200623_cycle1.hdf5,945.0,1.0,False,1.0,False,1.0,False,1.0,False,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,1.0,0.0,0.0,,,,,0,0,0,0,,0.6067415730337079,0,0,,0,0,,0,0,,0.6656494797689486,0.6617634160010054,0.6617634160010054,99.41619968375969,2.999776,4.200073,95349.0,95349.0,9540.410000562668,2.999776,4.200073,1.2002969999999995,3.82983480905935,0.186485693848859,0.0017703341723563,0.500889,0.5017671921047939,0.498232807895206,0.0039486747337148,1.3274128957699538,0.6656807852518344,0.6617321105181195,-3.148854989670162e-05,-0.0001575720193369,3.543944,-0.500889,3.611699,-0.500889,3.714588,-0.500889,3.826742,0.500889,3.959743,0.500889,4.07846,0.500889,4.127684,0.500889,0.0,0.0096000091564123,0.0271636531442715,1.327350284804222,0.0534352343927641,0.6824976203629667,0.2640671452442692,3.825,0.122996323225581,2.676550086013834,1.1058515390809296,0.6656494797689614,0.0013419253752511,0.6162301922498943,0.3824278823748545,3.825,0.1738755110512463,2.292014296135978,0.5905671363251298,0.6617008050352521,0.1058394082778243,0.7491604968676283,0.1450000948545473,3.675,0.1436375453012381,2.659880164068296,0.5803054251828327,galvanostatic_2,2.0,-4.347142245645791,1.6047293731719705,0.2403854128056777,-0.04277165823295066,-0.8365732929588588,-2.5298576497955807,2.439349141536949,1.8413043218487972,4.347142245645791,mean_abs_delta_prev,1,,
4,342,128,242,19,D://NMC_degradation_3_160623_Halfthedata\2_c2_x14_200623chopped\2_c2_x14_200623_cycle11.hdf5,940.0,0.9633802816901408,False,1.0491803278688523,False,0.9918032786885246,False,1.0555555555555556,False,-0.0366197183098592,0.0366197183098592,,0.9816901408450704,0.0258940511420426,0.0491803278688522,0.0491803278688522,,1.024590163934426,0.0347757433370432,-0.0081967213114754,0.0081967213114754,,0.9959016393442623,0.0057959572228405,0.0555555555555555,0.0555555555555555,,1.0277777777777777,0.0392837100659194,1.0149798609507683,0.0447799414742369,0.9633802816901408,1.0555555555555556,0.0921752738654148,0.0441190443249681,0.0149798609507683,0.0373880807614356,0.0555555555555555,0.0447799414742369,0,0,0,0,2.0,0.5449438202247191,0,0,,0,0,,0,0,,0.6579691816627963,0.6522119151522108,0.6522119151522108,99.1249945026246,2.999969,4.200073,94165.0,94165.0,9416.561251163484,2.999969,4.200073,1.2001039999999996,3.828321507162959,0.191060879913344,0.0022074967875537,0.500889,0.5022035788244039,0.497796421175596,0.0057739633585944,1.3101810968150072,0.6579775300868008,0.6522035667282066,-3.61668414477614e-05,-0.0001595719267484,3.519621,-0.500889,3.597608,-0.500889,3.714395,-0.500889,3.830988,0.500889,3.958392,0.500889,4.078653,0.500889,4.128843,0.500889,0.0,0.0019302411478426,0.0301389065885051,1.3101643999669883,0.0645880968871129,0.6730803062235796,0.2623315968893074,3.825,0.1291167034797233,2.6951791690541955,1.0917090518546635,0.6579691816627915,0.0010742345188575,0.6077771675774061,0.3911485979037364,3.825,0.1864507471322979,2.210795501905331,0.6284172328698538,0.6521952183042059,0.1286642551811642,0.7389615814754167,0.132374163343419,3.675,0.1427016952062487,2.6843754102052326,0.5751828377872021,galvanostatic_22,2.0,-4.672680696360075,0.2669768586727994,0.8115463345426517,-0.04891529267206003,-0.8847516190575987,-1.5675693143694074,1.5265150196470385,2.0556486614868823,4.672680696360075,mean_abs_delta_prev,1,1.4905769405521683,0.32553845071428444
6,325,117,228,16,D://NMC_degradation_3_160623_Halfthedata\2_c2_x14_200623chopped\2_c2_x14_200623_cycle13.hdf5,940.0,0.9154929577464788,False,0.9590163934426228,False,0.9344262295081968,False,0.8888888888888888,False,-0.047887323943662,0.047887323943662,-0.0422535211267605,0.9596244131455398,0.0423785318174527,-0.0901639344262295,0.0901639344262295,-0.0204918032786885,1.0027322404371584,0.0451440208793942,-0.0573770491803278,0.0573770491803278,-0.0327868852459015,0.9754098360655736,0.0357286798650875,-0.1666666666666667,0.1666666666666667,-0.0555555555555555,0.9814814814814816,0.0848625128695525,0.9244561173965468,0.0296601966195349,0.8888888888888888,0.9590163934426228,0.0701275045537339,0.0320839421811215,-0.0905237435542215,0.0905237435542215,0.1666666666666667,0.0538963258730449,0,0,0,0,2.0,0.5449438202247191,0,0,,0,0,,0,0,,0.6572880620356025,0.651378193951287,0.651378193951287,99.1008709231668,2.999969,4.200073,94056.0,94056.0,9405.673755168917,2.999969,4.200073,1.2001039999999996,3.8282576972335622,0.1907968055176744,0.0022686347920388,0.500889,0.5022646083184485,0.4977353916815514,0.0059265642357043,1.3086662559868898,0.657296410111297,0.6513698458755927,-3.60452694022144e-05,-0.0001597564618042,3.522324,-0.500889,3.59838,-0.500889,3.713622,-0.500889,3.830602,0.500889,3.958392,0.500889,4.078749500000001,0.500889,4.128843,0.500889,0.0,0.0019306094275762,0.0282069002179575,1.3086495598354788,0.0636326148619944,0.6742953967611445,0.2620719883768611,3.825,0.1293091681124357,2.694573944539573,1.090446794474045,0.6572880620355988,0.0010965140320704,0.6075588013012879,0.3913446846666415,3.825,0.1868535388523287,2.219470352260931,0.6252306128242606,0.6513614977998934,0.1267377149647801,0.7416392106721927,0.1316230743630271,3.675,0.1428223884824612,2.67919301687672,0.57464318477352,galvanostatic_26,2.0,-6.2358735490443555,0.09690402591338809,-2.6319290598113265,1.5302904910398143,-2.156442836074689,-1.9168311187142715,3.4812918021919117,-0.36880745239323354,6.2358735490443555,mean_abs_delta_prev,1,4.101696034807595,1.5631928526842804
8,376,129,255,18,D://NMC_degradation_3_160623_Halfthedata\2_c2_x14_200623chopped\2_c2_x14_200623_cycle3.hdf5,942.0,1.0591549295774647,False,1.0573770491803278,False,1.0450819672131149,False,1.0,False,0.1436619718309859,0.1436619718309859,0.0478873239436621,0.984507042253521,0.06061249237,0.098360655737705,0.098360655737705,0.0040983606557378,1.0163934426229506,0.0458821191905646,0.1106557377049181,0.1106557377049181,0.0266393442622951,0.992827868852459,0.0454376184960726,0.1111111111111111,0.1111111111111111,-0.0277777777777775,0.9861111111111112,0.069905874400655,1.0404034864927267,0.0276528982850447,1.0,1.0591549295774647,0.0591549295774647,0.0265790134731906,0.11594736909618,0.11594736909618,0.1436619718309859,0.0193974435221105,0,0,0,0,2.0,0.5842696629213483,0,0,,0,0,,0,0,,0.6620987329400375,0.6601349203498337,0.6601349203498337,99.7033958090384,2.976612,4.200266,71705.0,71705.0,9503.185639619827,2.976612,4.200266,1.2236540000000002,3.8420041986332887,0.1870432616829558,0.0643566049368942,0.500889,0.5642423819817307,0.4357576180182693,0.0020959913399518,1.322233653289871,0.6621648223149115,0.6600688309749596,-3.0243939455356737e-05,-0.0001598193720143,3.477154,-0.500889,3.629845,-0.500889,3.75223,-0.500889,3.841798,0.500889,3.970167,0.500889,4.078653,0.500889,4.126912,0.500889,0.0,0.0087773157495353,0.008465357581167,1.322089648320672,0.0913475307341563,0.6442512726880869,0.2644011965777565,3.775,0.127262768592905,2.7122170354434707,1.0804440212026207,0.6620987329400408,0.0008132548347205,0.6140481023961322,0.3851386427691473,3.825,0.1764891298932403,2.2291814135676,0.677582856373897,0.659990915380668,0.1821709465778178,0.6745509030542193,0.1432781503679628,3.675,0.1387066324343766,2.7368758585812283,0.5680360960757358,galvanostatic_6,2.0,-3.4840318803923735,-0.0020015023225003546,-0.9150287289748097,-2.0811913767359744,4.728978350704007,-1.6177447398724862,0.43169381118647915,-0.478404710756324,3.4840318803923735,mean_abs_delta_prev,1,4.855199573667882,-2.751841668651982
10,376,132,254,16,D://NMC_degradation_3_160623_Halfthedata\2_c2_x14_200623chopped\2_c2_x14_200623_cycle5.hdf5,942.0,1.0591549295774647,False,1.0819672131147542,False,1.040983606557377,False,0.8888888888888888,False,0.0,0.0,0.0718309859154931,0.9994366197183098,0.062208255801486,0.0245901639344263,0.0245901639344263,0.0614754098360657,1.0295081967213116,0.0493848207586626,-0.0040983606557378,0.0040983606557378,0.0532786885245904,1.0024590163934426,0.0448578632541381,-0.1111111111111111,0.1111111111111111,1.6427249470549956e-16,0.9666666666666666,0.0745355992499929,1.0177486595346212,0.0875275291490365,0.8888888888888888,1.0819672131147542,0.1930783242258653,0.0860011244712025,-0.0226548269581056,0.0349499089253188,0.1111111111111111,0.0603163521131854,0,0,0,0,2.0,0.5842696629213483,0,0,,0,0,,0,0,,0.6616160441820849,0.6589297755617513,0.6589297755617513,99.59398375478416,2.96503,4.202196,52469.0,52469.0,9491.05480670929,2.96503,4.202196,1.2371659999999998,3.827803853532562,0.1960766408455344,0.0008687205588061,0.500889,0.5008671787150508,0.4991328212849492,0.0027794896061096,1.3205458197438358,0.6616626546749729,0.6588831650688631,-3.673417310356036e-05,-0.0001583244468442,3.484875,-0.500889,3.593554,-0.500889,3.718448,-0.500889,3.830409,0.500889,3.962446,0.500889,4.080583,0.500889,4.13058,0.500889,0.0,0.0083926086234542,0.0114927193718075,1.320444250748685,0.0802043151607436,0.6555974571017498,0.2641982277375064,3.775,0.1365647676984642,2.704659399391609,1.0673137240666857,0.6616160441820857,0.0017963567225593,0.6094636416395931,0.3887400016378475,3.775,0.1908764436203322,2.159316424621935,0.64534496166366,0.658828206566627,0.1589440575961891,0.7019264882283051,0.1391294541755059,3.675,0.1406461979950657,2.7310603498572785,0.5614387885496506,galvanostatic_10,2.0,-4.417623695262696,-1.1833272334816192,0.09579580481423257,-2.4064632074737538,0.1267784601180274,-0.6236070264050945,-1.671326930434097,-0.3875890388849286,4.417623695262696,mean_abs_delta_prev,1,1.8424690395968206,0.9335918148703226
12,376,139,261,16,D://NMC_degradation_3_160623_Halfthedata\2_c2_x14_200623chopped\2_c2_x14_200623_cycle7.hdf5,941.0,1.0591549295774647,False,1.139344262295082,False,1.069672131147541,False,0.8888888888888888,False,0.0,0.0,8.378528922508306e-17,1.0112676056338028,0.0677229029868805,0.0573770491803278,0.0573770491803278,0.0409836065573771,1.0573770491803278,0.0653171206988085,0.028688524590164,0.028688524590164,0.0122950819672132,1.0163934426229508,0.0538275636744413,0.0,0.0,-0.0555555555555556,0.9444444444444444,0.0785674201318386,1.0392650529772445,0.1063783130430228,0.8888888888888888,1.139344262295082,0.2504553734061931,0.1023591746285267,0.0215163934426229,0.0215163934426229,0.0573770491803278,0.0274671711241572,0,0,0,0,2.0,0.5617977528089888,0,0,,0,0,,0,0,,0.6624457646054849,0.6561075442300461,0.6561075442300461,99.04320916306057,2.990896,4.20181,47321.0,47321.0,9476.7341902256,2.990896,4.20181,1.2109139999999998,3.825533208047167,0.190065985106402,-1.0584920014368156e-05,0.500889,0.4999894338665708,0.5000105661334291,0.0064592684349981,1.318553308835531,0.6625062886352646,0.6560470202002663,-3.48636991955676e-05,-0.0001578559670955,3.502441,-0.500889,3.596643,-0.500889,3.715553,-0.500889,3.826934,-0.500889,3.952601,0.500889,4.07653,0.500889,4.127491,0.500889,0.0,0.0038599668696363,0.0120667793744716,1.3184322607759402,0.0708790235398884,0.6644728184416948,0.2646481580184167,3.825,0.1291882175267358,2.7007822792907703,1.088790996533148,0.6624457646054878,0.0021297402841442,0.6086759968346079,0.3891942628812476,3.825,0.1854197164145672,2.195262909556009,0.6187745156168007,0.6559864961704877,0.1403052568210563,0.7208190517373778,0.1388756914415658,3.675,0.1424411179237449,2.710506357052548,0.5724834828748754,galvanostatic_15,2.0,-3.8390893745990007,-0.8901170547706594,1.4737828906628787,-0.618389563586263,-0.21852841991855496,-1.1069595474722471,-2.1765550837718024,-1.0261999738690293,3.8390893745990007,mean_abs_delta_prev,1,2.3487720054990966,-0.5785343206636955
14,363,131,254,19,D://NMC_degradation_3_160623_Halfthedata\2_c2_x14_200623chopped\2_c2_x14_200623_cycle9.hdf5,942.0,1.0225352112676056,False,1.0737704918032789,False,1.040983606557377,False,1.0555555555555556,False,-0.0366197183098591,0.0366197183098591,-0.0183098591549292,1.0230985915492958,0.0622082558014859,-0.0655737704918031,0.0655737704918031,-0.0040983606557375,1.062295081967213,0.0654712313039866,-0.028688524590164,0.028688524590164,8.094889793240983e-17,1.0262295081967214,0.0526922326217218,0.1666666666666667,0.1666666666666667,0.0833333333333334,0.9444444444444444,0.0785674201318386,1.0482112162959545,0.0217463518807822,1.0225352112676056,1.0737704918032789,0.0512352805356732,0.0207461545370855,0.0089461633187101,0.0743871700146232,0.1666666666666667,0.1063353140056541,0,0,0,0,2.0,0.5842696629213483,0,0,,0,0,,0,0,,0.6502804000705293,0.6530329238290579,0.6530329238290579,100.42328259597396,2.999776,4.200073,94417.0,94417.0,9367.201048612596,2.999776,4.200073,1.2002969999999995,3.830755991908237,0.1907685264412253,0.0029124846267091,0.500889,0.5029073154198926,0.4970926845801074,-0.0027358271095531,1.303313323899587,0.650288748395017,0.6530245755045702,-3.914419662963642e-05,-0.0001636560562865,3.516919,-0.500889,3.597608,-0.500889,3.715939,-0.500889,3.830988,0.500889,3.958585,0.500889,4.078653,0.500889,4.128843,0.500889,0.0,0.0019301122823316,0.0344750889679715,1.3032827147420158,0.0668625552969612,0.6683424181040496,0.2647950265989892,3.775,0.122295539950478,2.7026690190472022,1.0858001934038128,0.6502804000704983,0.0029291513303776,0.6002917617968216,0.3967790868728006,3.825,0.1731256731901058,2.224299981841993,0.5903787962650568,0.6530023146715139,0.1305294651610903,0.7361094183340291,0.1333611165048804,3.675,0.1425040208921191,2.6890841896198188,0.5755022977456026,galvanostatic_18,2.0,-4.46630133233329,0.03944931859541838,0.23667728744803382,-0.18891929893654838,0.8234055325786057,-0.03685692461818197,3.015316269601667,-0.36804378422481443,4.46630133233329,mean_abs_delta_prev,1,1.7240543680933336,0.6272119577342896
26,382,129,250,18,D://NMC_degradation_3_160623_Halfthedata\4_c2_x10_240623chopped\4_c2_x10_240623_cycle1.hdf5,927.0,1.076056338028169,False,1.0573770491803278,False,1.024590163934426,False,1.0,False,0.0535211267605633,0.0535211267605633,0.0084507042253522,1.0552112676056338,0.0196780272637437,-0.016393442622951,0.016393442622951,-0.0409836065573768,1.0819672131147542,0.0337959477509648,-0.016393442622951,0.016393442622951,-0.0225409836065573,1.044262295081967,0.0162390268493109,-0.0555555555555555,0.0555555555555555,0.0555555555555556,0.9666666666666666,0.0745355992499929,1.0395058877857306,0.03385512177039,1.0,1.076056338028169,0.0760563380281689,0.0325684752421224,-0.0087053285102235,0.0354658918905052,0.0555555555555555,0.0454066430785446,0,0,0,0,12.0,0.4662921348314606,0,0,,0,0,,0,0,,0.6549194748884893,0.6474638568058328,0.6474638568058328,98.86159774315372,2.999969,4.200073,93602.0,93602.0,9360.516988992693,2.999969,4.200073,1.2001039999999996,3.8280867613085183,0.1897850165990589,0.0029003850131407,0.500889,0.5028952372812546,0.4971047627187453,0.00751544716373,1.3023833316943223,0.6549493894290261,0.647433942265296,-3.554102034874104e-05,-0.0001605271259255,3.52908,-0.500889,3.60089,-0.500889,3.710341,-0.500889,3.830023,0.500889,3.957813,0.500889,4.079039,0.500889,4.129228,0.500889,0.0,0.009648513951304,0.0258864755718421,1.3023235026132758,0.0607302120177882,0.6780113354885702,0.2612584524936414,3.825,0.1286752532276803,2.692073960188713,1.0851755369645266,0.6549194748884996,0.0012003344094725,0.6071850598866299,0.3916146057038975,3.825,0.1853879011037076,2.2535798832582103,0.6075815789122858,0.6474040277247641,0.1209511474982675,0.7496598042022303,0.129389048299502,3.675,0.1464894765414438,2.661843180125777,0.5716384905489199,galvanostatic_2,2.0,-4.900097184907396,1.1722902597165854,1.2108846564986666,-0.4260656907825379,-0.929278776610461,-1.939485166232979,2.624253391932392,2.867174325359127,4.900097184907396,mean_abs_delta_prev,1,1.5737934580715838,0.43379585257410547
28,381,130,250,19,D://NMC_degradation_3_160623_Halfthedata\4_c2_x10_240623chopped\4_c2_x10_240623_cycle3.hdf5,934.0,1.0732394366197182,False,1.0655737704918034,False,1.024590163934426,False,1.0555555555555556,False,-0.0028169014084507,0.0028169014084507,0.0253521126760564,1.0580281690140845,0.0213230319636903,0.0081967213114755,0.0081967213114755,-0.0040983606557376,1.0836065573770493,0.0324780536986215,0.0,0.0,-0.0081967213114755,1.0401639344262297,0.0184198402083971,0.0555555555555555,0.0555555555555555,2.3125063820860983e-16,0.9777777777777776,0.0842541716005727,1.0547397316503755,0.0213641247864512,1.024590163934426,1.0732394366197182,0.0486492726852922,0.0202553522403316,0.0152338438646451,0.0166422945688704,0.0555555555555555,0.0272840669703022,0,0,0,0,2.0,0.5224719101123596,0,0,,0,0,,0,0,,0.6576108009653199,0.6496160466220149,0.6496160466220149,98.7842726531302,2.980858,4.200073,81639.0,81639.0,9395.32840871811,2.980858,4.200073,1.2192149999999995,3.82904448836953,0.1873322008830865,0.0265847454892882,0.500889,0.5265375617045774,0.4734624382954225,0.0081213719442896,1.307226847587335,0.6576741097658122,0.6495527378215226,-3.365055293941086e-05,-0.0001592778489533,3.530625,-0.500889,3.603206,-0.500889,3.716132,-0.500889,3.831567,0.500889,3.954917,0.500889,4.075178,0.500889,4.126159299999999,0.500889,0.0,0.0096376011619821,0.0086111859673191,1.3070626587361909,0.0618002904041622,0.6761950799252574,0.2620046296705803,3.825,0.12812881174781,2.6952485104807526,1.0720526393918963,0.6576108009653214,0.0014281504685978,0.6071296002781573,0.391442249253245,3.825,0.1842654372971338,2.2549787418957177,0.6010369920176739,0.6494518577708691,0.1229308743327155,0.7461282163792429,0.1309409092880415,3.675,0.1467818345653809,2.670490437693125,0.5634585103038297,galvanostatic_6,2.0,-3.865211805522589,1.64908126680157,1.3952202784352659,-1.3871826143097847,-1.0601874392954551,-1.0848532363262005,0.262847329173999,1.3623231707193169,3.865211805522589,mean_abs_delta_prev,1,1.5020129077696975,-1.0348853793848067
30,387,127,252,18,D://NMC_degradation_3_160623_Halfthedata\4_c2_x10_240623chopped\4_c2_x10_240623_cycle5.hdf5,933.0,1.0901408450704226,False,1.040983606557377,False,1.0327868852459017,False,1.0,False,0.0169014084507044,0.0169014084507044,0.0070422535211269,1.064225352112676,0.0257711842512282,-0.0245901639344263,0.0245901639344263,-0.0081967213114751,1.0754098360655735,0.0377405391253161,0.0081967213114757,0.0081967213114757,0.0040983606557381,1.0385245901639342,0.0186914004114615,-0.0555555555555555,0.0555555555555555,1.4218392530957516e-16,1.0,0.0680413817439771,1.0409778342184253,0.0372526339635053,1.0,1.0901408450704226,0.0901408450704226,0.0357861932684425,-0.0137618974319504,0.0263109623130405,0.0555555555555555,0.0330977364763505,0,0,0,0,2.0,0.5,0,0,,0,0,,0,0,,0.6564992465395547,0.6500891617769337,0.6500891617769337,99.02359602141068,2.992055,4.201423999999999,69357.0,69357.0,9390.739804506302,2.992055,4.201423999999999,1.2093689999999993,3.832763938996784,0.1876914343538282,0.0195785584584108,0.500889,0.5195438095650042,0.4804561904349957,0.0065227865046332,1.306588408316488,0.6565555974105608,0.6500328109059275,-3.363845823358688e-05,-0.0001601913676458,3.535257,-0.500889,3.606295,-0.500889,3.718835,-0.500889,3.833498,0.500889,3.960901,0.500889,4.082320999999999,0.500889,4.131159,0.500889,0.0,0.0096459845816246,0.015860199550147,1.306475706574486,0.0601932183184833,0.6776451588490159,0.2621616228325008,3.825,0.1272280130704929,2.6913927745156307,1.0802953495372272,0.6564992465395486,0.0016001366506409,0.6063676823984556,0.3920321809509035,3.825,0.1834247165303718,2.256947894013454,0.6109072392726324,0.6499764600349248,0.119374306146345,0.7496379346835853,0.1309877591700696,3.675,0.1453893708731111,2.659488173959998,0.5694454802219385,galvanostatic_10,2.0,-3.9839201966544198,1.7639988680085454,1.0918588434610959,-0.8565077756184827,-1.2166717425563407,-1.1607847374959164,0.3590783805382968,0.6755395393404866,3.9839201966544198,mean_abs_delta_prev,1,0.633199559255927,0.11870839113183074
